negative,positive,sentiment ,file,dates 
7058,7725,667,2008-01.txt,1
68,111,43,2008-02.txt,2
68,111,43,2008-03.txt,3
3474,4142,668,2008-04.txt,4
NA,NA,NA,2008-05.txt,5
NA,NA,NA,2008-06.txt,6
NA,NA,NA,2008-07.txt,7
NA,NA,NA,2008-08.txt,8
6559,7190,631,2008-09.txt,9
NA,NA,NA,2008-10.txt,10
8466,9478,1012,2008-11.txt,11
9333,10400,1067,2008-12.txt,12
7058,7725,667,2009-01.txt,13
NA,NA,NA,2009-02.txt,14
NA,NA,NA,2009-03.txt,15
NA,NA,NA,2009-04.txt,16
NA,NA,NA,2009-05.txt,17
NA,NA,NA,2009-06.txt,18
10029,11334,1305,2009-07.txt,19
NA,NA,NA,2009-08.txt,20
NA,NA,NA,2009-09.txt,21
8149,9682,1533,2009-10.txt,22
NA,NA,NA,2010-01.txt,23
7885,8871,986,2010-02.txt,24
7628,7789,161,2010-03.txt,25
NA,NA,NA,2010-04.txt,26
NA,NA,NA,2010-05.txt,27
NA,NA,NA,2010-06.txt,28
NA,NA,NA,2010-07.txt,29
NA,NA,NA,2010-08.txt,30
NA,NA,NA,2010-09.txt,31
7057,8289,1232,2010-10.txt,32
NA,NA,NA,2010-11.txt,33
NA,NA,NA,2010-12.txt,34
15527,16322,795,2011-01.txt,35
9743,11263,1520,2011-02.txt,36
NA,NA,NA,2011-03.txt,37
NA,NA,NA,2011-04.txt,38
NA,NA,NA,2011-05.txt,39
NA,NA,NA,2011-06.txt,40
9285,10231,946,2011-07.txt,41
NA,NA,NA,2011-08.txt,42
2005,2410,405,2011-09.txt,43
5672,6338,666,2011-11.txt,44
5620,5600,-20,2011-12.txt,45
4610,4677,67,2012-01.txt,46
NA,NA,NA,2012-02.txt,47
NA,NA,NA,2012-03.txt,48
NA,NA,NA,2012-04.txt,49
5964,5276,-688,2012-05.txt,50
3532,3045,-487,2012-06.txt,51
1973,2005,32,2012-07.txt,52
1944,1757,-187,2012-08.txt,53
927,931,4,2012-09.txt,54
1434,1249,-185,2012-10.txt,55
1889,1612,-277,2012-11.txt,56
1681,1361,-320,2012-12.txt,57
2090,1982,-108,2013-01.txt,58
1060,1140,80,2013-02.txt,59
1027,1045,18,2013-03.txt,60
1266,1218,-48,2013-04.txt,61
1720,1699,-21,2013-05.txt,62
1300,1459,159,2013-06.txt,63
1414,1185,-229,2013-07.txt,64
1381,1217,-164,2013-08.txt,65
1777,1619,-158,2013-09.txt,66
1148,1249,101,2013-10.txt,67
1034,898,-136,2013-11.txt,68
809,746,-63,2013-12.txt,69
998,986,-12,2014-01.txt,70
1074,1230,156,2014-02.txt,71
NA,NA,NA,2014-03.txt,72
1470,1393,-77,2014-04.txt,73
735,660,-75,2014-05.txt,74
NA,NA,NA,2014-06.txt,75
1241,1112,-129,2014-07.txt,76
NA,NA,NA,2014-08.txt,77
1319,1256,-63,2014-09.txt,78
958,899,-59,2014-10.txt,79
1437,1759,322,2014-11.txt,80
NA,NA,NA,2014-12.txt,81
NA,NA,NA,2015-01.txt,82
5093,7127,2034,2015-02.txt,83
1320,1698,378,2015-03.txt,84
921,885,-36,2015-04.txt,85
366,383,17,2015-05.txt,86
396,480,84,2015-06.txt,87
396,480,84,2015-07.txt,88
2507,2479,-28,2015-08.txt,89
866,1221,355,2015-09.txt,90
664,1057,393,2015-10.txt,91
NA,NA,NA,2015-11.txt,92
1169,2081,912,2015-12.txt,93
1577,2530,953,2016-01.txt,94
1310,1832,522,2016-02.txt,95
631,864,233,2016-03.txt,96
155,229,74,2016-04.txt,97
60,77,17,2016-05.txt,98
204,311,107,2016-06.txt,99
547,598,51,2016-07.txt,100
647,573,-74,2016-08.txt,101
431,512,81,2016-09.txt,102
488,506,18,2016-10.txt,103
83,126,43,2016-11.txt,104
NA,NA,NA,2016-12.txt,105
732,1320,588,2017-01.txt,106
1990,3499,1509,2017-02.txt,107
2051,2454,403,2017-03.txt,108
173,237,64,2017-04.txt,109
64,70,6,2017-05.txt,110
235,174,-61,2017-06.txt,111
19,10,-9,2017-07.txt,112
19,10,-9,2017-07.txt,
