"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","need","player","jump","mission","time","vote","issu","vote","skill","support","corp","faction","know","vote","plex"
"2","time","fun","sov","ship","fix","allianc","thread","issu","train","need","need","stand","petit","player","isk"
"3","cloak","deep","chang","drone","skill","candid","forum","need","allianc","ship","time","gank","updat","new","player"
"4","afk","gank","space","time","support","chang","rais","time","play","rang","nerf","player","keep","time","buy"
"5","ship","new","allianc","skill","learn","good","corp","see","player","see","mission","highsec","chang","thing","item"
"6","mine","abl","fight","missil","work","goon","give","post","see","damag","chang","space","sign","year","time"
"7","player","chang","point","need","new","see","see","say","time","bonus","ship","new","guy","good","new"
"8","new","add","bridg","bonus","know","name","meet","way","account","use","pos","mechan","ive","see","charact"
"9","local","enjoy","actual","damag","thing","elect","chang","thing","corp","time","mine","sec","make","candid","need"
"10","see","safe","system","fit","player","say","list","ship","charact","chang","allianc","way","corp","need","way"
"11","way","around","time","target","propos","thing","assembl","discuss","good","fit","way","loot","let","work","play"
"12","know","alway","fleet","good","sec","care","alreadi","take","thing","way","isk","high","amarr","chang","now"
"13","thing","better","need","way","say","need","tri","well","need","dps","thing","time","addit","question","see"
"14","pvp","actual","bot","use","need","know","pass","agre","post","thing","war","chang","decid","run","money"
"15","corp","low","take","alreadi","realli","actual","page","meet","new","someth","take","freighter","name","communiti","thing"
